timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768087159230,388,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-2,text,true,,414,135,15,40,https://petstore.swagger.io/v2/store/inventory,388,0,256
1768087159225,393,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-73,text,true,,333,156,6,40,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,393,0,258
1768087159250,388,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-1,text,true,,443,293,15,40,https://petstore.swagger.io/v2/store/order,387,0,253
1768087159249,389,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-12,text,true,,443,293,15,40,https://petstore.swagger.io/v2/store/order,389,0,256
1768087159283,397,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-15,text,true,,2691,151,19,40,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,397,0,259
1768087159301,381,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-3,text,true,,333,156,15,40,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,381,0,253
1768087159295,389,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-13,text,true,,414,135,15,40,https://petstore.swagger.io/v2/store/inventory,388,0,257
1768087159282,403,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-70,text,true,,414,135,6,40,https://petstore.swagger.io/v2/store/inventory,403,0,268
1768087159360,390,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-74,text,true,,333,156,5,39,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,389,0,258
1768087159357,397,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-71,text,true,,414,135,5,39,https://petstore.swagger.io/v2/store/inventory,397,0,261
1768087159382,384,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-7,text,true,,414,135,15,38,https://petstore.swagger.io/v2/store/inventory,383,0,255
1768087159387,383,[Stress] GET Store Inventory,200,OK,2.Stress Test (Ramp Up) 2-3,text,true,,414,135,19,38,https://petstore.swagger.io/v2/store/inventory,383,0,255
1768087159385,392,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-8,text,true,,333,156,15,38,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,391,0,259
1768087159382,397,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-14,text,true,,333,156,15,38,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,396,0,263
1768087159395,387,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-5,text,true,,414,135,15,38,https://petstore.swagger.io/v2/store/inventory,387,0,255
1768087159399,393,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-4,text,true,,443,293,15,38,https://petstore.swagger.io/v2/store/order,393,0,257
1768087159407,398,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-4,text,true,,2691,151,19,38,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,398,0,261
1768087159415,401,[Stress] GET Pets Sold,200,OK,2.Stress Test (Ramp Up) 2-13,text,true,,2264,148,19,38,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,401,0,257
1768087159488,393,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-72,text,true,,414,135,4,38,https://petstore.swagger.io/v2/store/inventory,393,0,255
1768087159488,404,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-75,text,true,,333,156,3,37,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,404,0,260
1768087159018,921,[Stress] GET Pets Available,200,OK,2.Stress Test (Ramp Up) 2-17,text,true,,146214,153,20,38,https://petstore.swagger.io/v2/pet/findByStatus?status=available,659,0,397
1768087159618,416,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-73,text,true,,414,135,3,38,https://petstore.swagger.io/v2/store/inventory,415,0,258
1768087159613,421,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-1,text,true,,504,377,20,38,https://petstore.swagger.io/v2/pet,421,0,266
